[GIN] 2019/01/16 - 19:33:13 | 200 |      63.557µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:13 | 200 |      17.656µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:13 | 200 |      11.992µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:14 | 200 |      10.703µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:14 | 200 |      10.592µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:14 | 200 |      24.712µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:14 | 200 |       21.24µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:15 | 200 |        7.87µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:15 | 200 |       8.256µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:31 | 200 |        7.76µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:32 | 200 |       7.445µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:32 | 200 |      35.978µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:32 | 200 |       10.99µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:32 | 200 |       10.34µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:32 | 200 |       7.488µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:33 | 200 |      27.533µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:33 | 200 |       7.717µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:33 | 200 |       8.861µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:33 | 200 |       7.541µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:34 | 200 |      11.865µs |       127.0.0.1 | GET      /ping
[GIN] 2019/01/16 - 19:33:48 | 200 |      14.648µs |       127.0.0.1 | GET      /ping
